qid,query,domain_hint,retrieval_gt,answers,notes
donggu-0000,휴학 어떻게 해?,unknown,"deu_academic_84441_v002_chunk_011,deu_academic_84441_v002_chunk_012","휴학은 학칙과 학사지원팀 안내의 휴학 절차, 휴학 기간, 복학 규정을 근거로 답변해야 합니다.",
donggu-0001,수강신청 기간은 언제야?,course_registration,"deu_academic_notice_84385_v001_chunk_003,deu_academic_notice_84385_v001_chunk_004,deu_academic_notice_84378_v001_chunk_001",수강신청 기간은 해당 학기 수강신청 또는 계절수업 안내 공지의 일정 표를 근거로 답변해야 합니다.,
donggu-0002,장학금 신청 방법 알려줘,scholarship,"deu_scholarship_81842_v002_chunk_001,deu_scholarship_81842_v002_chunk_002,deu_scholarship_81842_v002_chunk_003","장학금 신청 방법은 장학 공지의 신청 기간, 신청 대상, 제출 서류, 신청 시스템 안내를 근거로 답변해야 합니다.",
donggu-0003,기숙사 입사 신청은?,dormitory,"static_489038e768a146d4_v001_chunk_001,static_51ad97a54f7a0db7_v001_chunk_001,static_26d633279a2768ef_v001_chunk_001",기숙사 입사 신청은 생활관 입사신청 페이지의 신청 단계와 주의사항을 근거로 답변해야 합니다.,
donggu-0004,졸업 요건은 뭐야?,graduation,"deu_academic_84441_v002_chunk_013,deu_academic_84441_v002_chunk_017","졸업요건은 학칙의 수료 및 졸업학점, 조기졸업, 졸업 관련 조항을 근거로 답변해야 합니다.",
donggu-0005,등록금 납부 기한은?,tuition,"deu_academic_84441_v002_chunk_024,deu_notice_85581_v002_chunk_001",등록금 납부 기한은 등록 및 수강신청 관련 학칙 또는 해당 학기 등록 공지를 근거로 답변해야 합니다.,
donggu-0006,휴학 절차를 알려주세요,unknown,,,
donggu-0007,수강 정정 기간은?,course_registration,"deu_academic_notice_84385_v001_chunk_004,deu_academic_notice_84385_v001_chunk_005,deu_academic_notice_84385_v001_chunk_011","수강정정 기간은 수강신청 안내 공지의 정정 기간, 추가 신청, 폐강 관련 일정을 근거로 답변해야 합니다.",
donggu-0008,장학금 종류는 어떤 게 있어?,scholarship,,,
donggu-0009,기숙사 시설 안내,dormitory,"static_413502a6fe8d98ad_v001_chunk_001,static_3dcfc0a72d7f9f55_v001_chunk_001",기숙사 시설과 연락처는 생활관 시설안내 및 연락처 페이지를 근거로 답변해야 합니다.,
donggu-0010,졸업 논문 제출 기한,graduation,,,
donggu-0011,등록금 환불 정책,tuition,,,
donggu-0012,휴학 후 복학 절차,unknown,"deu_academic_84441_v002_chunk_011,deu_academic_84441_v002_chunk_012,deu_academic_84441_v002_chunk_013","휴학과 복학 절차는 학칙의 휴학, 복학, 제적 관련 조항을 근거로 답변해야 합니다.",
donggu-0013,수강신청 최소/최대학점,course_registration,,,
donggu-0014,장학금 심사 기준,scholarship,,,
donggu-0015,기숙사 생활 규칙,dormitory,"static_014ee735a1b20c1b_v001_chunk_001,static_3dcfc0a72d7f9f55_v001_chunk_001","기숙사 생활 규칙은 생활관 상벌점, 생활수칙, 시설고장 신고 안내를 근거로 답변해야 합니다.",
donggu-0016,졸업 인증서 발급,graduation,,,
donggu-0017,등록금 분할 납부,tuition,,,
donggu-0018,휴학 기간 제한,unknown,"deu_academic_84441_v002_chunk_011,deu_academic_84441_v002_chunk_012",휴학 기간 제한은 학칙의 휴학 기간과 예외 조항을 근거로 답변해야 합니다.,
donggu-0019,수강 취소 방법,course_registration,"deu_academic_notice_84378_v001_chunk_001,deu_academic_notice_84385_v001_chunk_005","수강취소 또는 수강정정은 계절수업 및 수강신청 안내의 정정, 취소, 환불 안내를 근거로 답변해야 합니다.",
donggu-0020,장학금 신청 서류,scholarship,,,
donggu-0021,기숙사 입사 자격,dormitory,"static_26d633279a2768ef_v001_chunk_001,static_489038e768a146d4_v001_chunk_001,static_51ad97a54f7a0db7_v001_chunk_001",기숙사 입사 자격은 생활관 모집 공지와 입사신청 안내의 대상 및 제한사항을 근거로 답변해야 합니다.,
donggu-0022,졸업 시험 일정,graduation,,,
